🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight low_mood_audit positive_rate=0.956 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=low_mood_audit

[Step 001] user:low_mood_audit loss:19.007 grad:53.783 pred: 3.145 reward: -5.30 eps:0.25 exploit regret:    - hn:0.824 hc:0.96 | source_ffoods_spectrum | Hype Beast | How Technological Breakthroughs are Redefining
[Step 002] user:low_mood_audit loss:16.878 grad:45.656 pred: 3.090 reward: -5.54 eps:0.25 exploit regret:    - hn:0.822 hc:0.96 | source_tradingview | Hype Beast | Oracle Unveils AI Agents for Fusion Apps: Will
[Step 003] user:low_mood_audit loss:17.490 grad:50.622 pred: 3.123 reward: -4.59 eps:0.25 exploit regret:    - hn:0.819 hc:0.96 | statnews.com | Hype Beast | STAT+: Humana projects sharply lower earnings 
[Step 004] user:low_mood_audit loss:14.702 grad:39.165 pred: 3.032 reward: -5.45 eps:0.25 exploit regret:    - hn:0.817 hc:0.95 | source_the_debrief | Hype Beast | Brain-Computer Interface Breakthrough Successf
[Step 005] user:low_mood_audit loss:13.054 grad:34.594 pred: 2.970 reward: -5.12 eps:0.25 explore regret:    - hn:0.815 hc:0.95 | theintercept.com | Hype Beast | Pentagon Makes Largest Known Arms Purchase Fro
[Step 006] user:low_mood_audit loss: 4.167 grad:14.671 pred: 2.861 reward:  3.14 eps:0.25 exploit regret:    - hn:0.802 hc:0.95 | inhabitat.com | Dystopian Warning | Simple uses of jute mesh to tame soil erosion
[Step 007] user:low_mood_audit loss: 8.764 grad:19.504 pred: 2.718 reward: -5.20 eps:0.35 explore regret:    - hn:0.793 hc:0.94 | source_the_pew_charitable_trusts | Hype Beast | Small Single-Stairway Apartment Buildings Have
[Step 008] user:low_mood_audit loss: 8.651 grad:20.190 pred: 2.721 reward: -4.83 eps:0.35 exploit regret:    - hn:0.785 hc:0.94 | source_san_francisco_chronicle | Hype Beast | Many older people take these vitamins to boost
[Step 009] user:low_mood_audit loss: 7.368 grad:14.909 pred: 2.573 reward: -5.44 eps:0.35 exploit regret:    - hn:0.771 hc:0.93 | source_geeky_gadgets | Hype Beast | 8 Powerful AI Agent Use Cases to Boost Automat
[Step 010] user:low_mood_audit loss: 6.673 grad:13.306 pred: 2.489 reward: -4.85 eps:0.35 exploit regret:14.85 hn:0.762 hc:0.92 | engadget.com | Hype Beast | Netflix is reportedly filming the Stranger Thi
[Step 011] user:low_mood_audit loss: 1.632 grad: 4.871 pred: 2.398 reward:  7.53 eps:0.35 exploit regret:    - hn:0.751 hc:0.92 | cepro.com | Analytical Deep Dive | OpenAI Reveals Progress on Minimal, Context-Aw
[Step 012] user:low_mood_audit loss: 2.832 grad: 5.277 pred: 2.302 reward:  3.31 eps:0.35 explore regret:    - hn:0.737 hc:0.91 | theguardian.com | Dystopian Warning | The Guardian view on heavy rain: England’s flo
[Step 013] user:low_mood_audit loss: 3.760 grad: 8.085 pred: 2.223 reward: 10.00 eps:0.35 explore regret:    - hn:0.725 hc:0.90 | source_macrumors | Analytical Deep Dive | OpenAI's Sora App Creates Realistic AI Videos 
[Step 014] user:low_mood_audit loss: 1.998 grad: 4.820 pred: 2.162 reward:  7.60 eps:0.24 exploit regret:    - hn:0.714 hc:0.89 | source_send2press | Analytical Deep Dive | LumeFlow AI Launches New Features to Enhance A
[Step 015] user:low_mood_audit loss: 1.919 grad: 5.005 pred: 2.214 reward:  7.93 eps:0.24 exploit regret:    - hn:0.721 hc:0.90 | source_quasa_connect | Analytical Deep Dive | OpenAI's Codex Desktop App: A Free Command Cen
[Step 016] user:low_mood_audit loss: 1.872 grad: 4.865 pred: 2.219 reward:  7.68 eps:0.24 exploit regret:    - hn:0.718 hc:0.90 | source_axios | Analytical Deep Dive | OpenAI's Sora app lets friends swap AI video c
[Step 017] user:low_mood_audit loss: 1.684 grad: 4.987 pred: 2.263 reward:  7.48 eps:0.24 exploit regret:    - hn:0.719 hc:0.90 | source_times_of_india | Analytical Deep Dive | OpenAI to take on TikTok with its new short-vi
[Step 018] user:low_mood_audit loss: 1.384 grad: 5.699 pred: 2.290 reward:  7.15 eps:0.24 explore regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 5 ChatGPT Prompts To Build Wealth Doing Nothin
[Step 019] user:low_mood_audit loss: 1.390 grad: 5.396 pred: 2.394 reward:  7.62 eps:0.24 exploit regret:    - hn:0.731 hc:0.90 | source_hotel_news_resource | Analytical Deep Dive | OpenAI’s Sora 2 Set to Revolutionize AI-genera
[Step 020] user:low_mood_audit loss: 0.847 grad: 6.053 pred: 2.487 reward:  7.52 eps:0.23 exploit regret: 2.48 hn:0.000 hc:0.00 | source_mint | Analytical Deep Dive | OpenAI launches Sora 2 model with a new Instag
[Step 021] user:low_mood_audit loss: 5.253 grad:21.059 pred: 2.564 reward: 10.00 eps:0.23 exploit regret:    - hn:0.749 hc:0.92 | source_mint | Analytical Deep Dive | OpenAI announces major Sora update: Editing, t
[Step 022] user:low_mood_audit loss: 0.994 grad: 5.960 pred: 2.668 reward:  7.82 eps:0.23 exploit regret:    - hn:0.759 hc:0.92 | source_interesting_engineering | Analytical Deep Dive | OpenAI rolls out Codex app to run multiple AI 
[Step 023] user:low_mood_audit loss: 0.410 grad: 5.979 pred: 2.854 reward:  7.96 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_venturebeat | Analytical Deep Dive | OpenAI debuts Sora 2 AI video generator app wi
[Step 024] user:low_mood_audit loss:11.555 grad:43.245 pred: 2.886 reward: 10.00 eps:0.23 explore regret:    - hn:0.000 hc:0.00 | source_abp_live_english | Analytical Deep Dive | Sora Is Now On Android, But Is It Available In
[Step 025] user:low_mood_audit loss: 6.394 grad:34.748 pred: 3.013 reward: 10.00 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | bloomberg.com | Analytical Deep Dive | OpenAI Brings Sora Video-Generating App to And
