🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight gamer positive_rate=0.206 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=gamer

[Step 001] user:gamer loss: 5.678 grad: 7.466 pred: 2.536 reward: -5.03 eps:0.25 exploit regret:    - hn:0.765 hc:0.92 | source_mint | Analytical Deep Dive | OpenAI announces major Sora update: Editing, t
[Step 002] user:gamer loss: 5.902 grad: 8.832 pred: 2.560 reward: -5.19 eps:0.25 exploit regret:    - hn:0.767 hc:0.93 | source_send2press | Analytical Deep Dive | LumeFlow AI Launches New Features to Enhance A
[Step 003] user:gamer loss: 5.489 grad: 7.349 pred: 2.514 reward: -4.69 eps:0.25 exploit regret:    - hn:0.756 hc:0.92 | source_techcrunch | Analytical Deep Dive | OpenAI launches Codex, an AI coding agent, in 
[Step 004] user:gamer loss: 5.065 grad: 7.262 pred: 2.280 reward: -5.14 eps:0.25 exploit regret:    - hn:0.733 hc:0.91 | source_the_washington_post | Analytical Deep Dive | OpenAI won’t say whose content trained its vid
[Step 005] user:gamer loss: 4.867 grad: 5.921 pred: 2.227 reward: -5.17 eps:0.25 explore regret:    - hn:0.734 hc:0.91 | source_indiatimes | Analytical Deep Dive | OpenAI launches Frontier enterprise platform f
[Step 006] user:gamer loss: 4.473 grad: 5.901 pred: 2.061 reward: -4.99 eps:0.25 exploit regret:    - hn:0.698 hc:0.89 | source_forbes | Analytical Deep Dive | OpenAI To Go — Open Source, News On Project St
[Step 007] user:gamer loss: 4.341 grad: 4.917 pred: 1.978 reward: -5.28 eps:0.35 explore regret:    - hn:0.687 hc:0.88 | source_tom_s_guide | Analytical Deep Dive | OpenAI just launched Sora 2 — here’s how to jo
[Step 008] user:gamer loss: 3.997 grad: 5.076 pred: 1.891 reward: -4.74 eps:0.35 exploit regret:    - hn:0.667 hc:0.87 | source_axios | Analytical Deep Dive | OpenAI's Sora app lets friends swap AI video c
[Step 009] user:gamer loss: 2.831 grad: 3.562 pred: 1.774 reward:  7.69 eps:0.35 exploit regret:    - hn:0.647 hc:0.85 | source_wccftech | Analytical Deep Dive | NVIDIA’s RTX 5090 Power Adapter Melts Onto the
[Step 010] user:gamer loss: 3.700 grad: 4.450 pred: 1.749 reward: -4.77 eps:0.35 exploit regret:14.77 hn:0.643 hc:0.85 | venturebeat.com | Analytical Deep Dive | Listen Labs raises $69M after viral billboard 
[Step 011] user:gamer loss: 3.440 grad: 5.028 pred: 1.619 reward: -4.66 eps:0.35 exploit regret:    - hn:0.615 hc:0.83 | source_abc_news | Analytical Deep Dive | Ukraine war must become 'untenable' for Russia
[Step 012] user:gamer loss: 3.358 grad: 5.635 pred: 1.499 reward: -5.07 eps:0.35 explore regret:    - hn:0.590 hc:0.82 | venturebeat.com | Analytical Deep Dive | Anthropic launches Cowork, a Claude Desktop ag
[Step 013] user:gamer loss: 3.117 grad: 5.795 pred: 1.416 reward: -4.82 eps:0.35 explore regret:    - hn:0.570 hc:0.80 | source_digitimes | Analytical Deep Dive | China's 'Neuralink rival' raises US$286 millio
[Step 014] user:gamer loss: 2.766 grad: 4.874 pred: 1.335 reward:  7.88 eps:0.35 exploit regret:    - hn:0.548 hc:0.79 | source_pr_newswire | Analytical Deep Dive | Qloud Games Raises $5M Seed Round Led by BITKR
[Step 015] user:gamer loss: 2.927 grad: 6.436 pred: 1.244 reward: -5.23 eps:0.35 exploit regret:    - hn:0.524 hc:0.77 | source_national_institute_of_standards_and_technology_gov | Analytical Deep Dive | NIST, Nonprofit Research Consortium to Develop
[Step 016] user:gamer loss: 2.546 grad: 7.237 pred: 1.082 reward: -4.92 eps:0.35 exploit regret:    - hn:0.485 hc:0.75 | source_concordia_university | Analytical Deep Dive | Concordia hosts whistleblower Edward Snowden a
[Step 017] user:gamer loss: 2.387 grad: 6.907 pred: 1.047 reward: -4.63 eps:0.35 exploit regret:    - hn:0.471 hc:0.74 | source_nature | Analytical Deep Dive | Abstraction hierarchy to define biofoundry wor
[Step 018] user:gamer loss: 2.645 grad: 7.945 pred: 1.042 reward: -5.54 eps:0.35 explore regret:    - hn:0.477 hc:0.74 | source_fortune | Analytical Deep Dive | This Gen Zer dropped out of NYU at just 19 to 
[Step 019] user:gamer loss: 1.901 grad: 7.840 pred: 0.762 reward: -4.69 eps:0.35 exploit regret:    - hn:0.395 hc:0.68 | source_india_today | Analytical Deep Dive | Isro to launch PSLV on January 12. We still do
[Step 020] user:gamer loss: 1.799 grad: 8.823 pred: 0.586 reward: -5.45 eps:0.35 exploit regret:15.45 hn:0.348 hc:0.64 | source_the_globe_and_mail | Analytical Deep Dive | Without Question, These Are the 2 Safest Quant
[Step 021] user:gamer loss: 3.087 grad:10.951 pred: 0.469 reward:  7.10 eps:0.35 exploit regret:    - hn:0.318 hc:0.61 | source_institute_for_the_study_of_war | Analytical Deep Dive | Russian Offensive Campaign Assessment, Decembe
[Step 022] user:gamer loss: 2.842 grad:12.731 pred: 0.269 reward:  3.95 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_times_of_india | Angry Rant | MP Diwali tragedy: How viral social media reel
[Step 023] user:gamer loss: 0.957 grad: 7.477 pred: 0.184 reward: -5.27 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | businessinsider.com | Analytical Deep Dive | 3 takeaways from Elon Musk's xAI all-hands, fr
[Step 024] user:gamer loss: 0.710 grad: 6.586 pred: 0.038 reward: -4.99 eps:0.35 explore regret:    - hn:0.000 hc:0.00 | source_national_geographic | Analytical Deep Dive | What drew these 1,300 perfect circles on the s
[Step 025] user:gamer loss:14.955 grad:40.393 pred:-0.073 reward: 10.00 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | 9news.com.au | Sarcastic Takedown | Aussies lose $8 million to deepfake celebrity 
[Step 026] user:gamer loss:13.055 grad:38.397 pred:-0.181 reward: 10.00 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_the_courier_mail | Sarcastic Takedown | Toxic: whistleblower complained about former c
[Step 027] user:gamer loss: 2.116 grad:15.366 pred:-0.261 reward:  4.23 eps:0.23 explore regret:    - hn:0.000 hc:0.00 | source_global_news | Dystopian Warning | Whistleblower warned B.C. casino in 2000 of al
[Step 028] user:gamer loss: 4.629 grad:21.732 pred:-0.250 reward:  6.88 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_wsmv | Sarcastic Takedown | Nashville Department of Emergency Communicatio
[Step 029] user:gamer loss: 3.638 grad:18.358 pred:-0.208 reward:  4.09 eps:0.23 exploit regret:    - hn:0.000 hc:0.00 | source_the_conversation | Dystopian Warning | From selfie injuries to viral stunts, social m
[Step 030] user:gamer loss: 8.983 grad:26.672 pred:-0.093 reward: 10.00 eps:0.23 exploit regret: 0.00 hn:0.000 hc:0.00 | source_uk_constitutional_law_association | Dystopian Warning | Alex Benn: In Crisis: the ‘Constitutional’ Rig
[Step 031] user:gamer loss:10.475 grad:30.696 pred:-0.049 reward: 10.00 eps:0.23 explore regret:    - hn:0.000 hc:0.00 | source_mamavation | Sarcastic Takedown | Best Home Water Filters for Toxic PFAS "Foreve
